text,basic_relationship,subtype_label
"  Wont get it  We are a sacrifice  A diversion,  I doubt much can change that The enemy has five brigades waiting for us,  Complete your inspection",friend,Close Acquaintance
"  You see Major  You are not so different,  You are really going to force this arent you,  Who do you think I am  One of your freckle faced children waiting to die tomorrow  Threaten you  You and I just living will always be a threat  Forever  Look at your life Major  Look at mine  Nothing there but threat  Threats and nothingness Its what we live for,  Stay out of it,  It never changes Major,  Help  Ive seen others help Somehow a head always ended up on the counter,  We have no understanding,  If you wish to play games Major,  Excuse me sir  I thought we spoke as equals,  You seem to understand a great deal,  Second musketeer,  Staff sargeant detailed me to prepare firewood for the break fast cooking,  Mulet",friend,Close Acquaintance
"  Hes a MacLeod,  Aye  It is his duty  All of ours,  Your grandfather wore that in his service to the King and I to fight for the Duke",pleasant,Mentoring
  Ah Conor how you look a man,pleasant,Mentoring
  I want people in here to check over every piece of this stuff,pleasant,Diverse Work
"  You dont run as hard MacLeod You just dont run as hard anymore,  The pressure only comes when you let the taste slip into your mouth,  Tasting and enjoying life is the only thing of value we have  All else is just marking time  Youre marking time,  No seriously  We used to shoot pool together in Rangoon,  I knew his greatgrandfather,  Since you last saw me,  He always did,  Good times then  A man could stretch his legs without bring ing half the world down around his ears  Not like now,  But then rides up Pope Pius who calmly brushes the dust from his papal cross climbs off his papal horse draws his papal sword and asks just what the hell is going on  And what did Neuvich dear dear drunken Neuvich do,  Ill never forget the look on that Papal commanders face when his heretic stronghold turned out to be a rock full of whores climbing all over Neuvich,  Not tonight  Tonight I have a drink with an old friend,  It is the gathering my friend  The settling of old scores,  How many places this side of the Atlantic serve lager and lime,  Head still secure to the neck,  Are you going to offer me a chair or leave me standing here all night",friend,Superficial Acquaintance
"  They were Steven they were  Its been a miracle it has  He lasted right through and healed  No one in the village has ever seen anything like it  Ever,  Steven Conor didnt die,  Youre a kind man to be sure",pleasant,Diverse Work
  Ah Steven it is good to see you,pleasant,Diverse Work
"  Fine,  Just a second Walter Here Bruce heres the check And oh Bruce heres your wallet I got it back,  Oh yes Here it is,  No I was going to give it to her  but she left hurriedly,  Oh  mother  she  I dont know where she went,  Out some place,  Bruce you know Im mad about you and stop talking like that  Walter,  Well explain the whole thing to them ,  Bruce I know but I was in the biggest jam ,  Hello Bruce,  Well the storys practically finished Ill just go upstairs and send it over with a messenger,  The Criminal Courts Building,  Yes he is Look Bruce were taking that next train  and when I say next train this time I mean it,  Oh no How could you ever think of such a thing,  Im sure you havent any,  Yes wasnt it,  The check Bruce,  Fine And heres a kiss for you,  Ill be careful darling You be please,  I know a lot of men who didnt do anything till they met Walter Burns Please dear,  Believe me Bruce I know what Im doing Hed get you in a crap game ,  On second thought would you let me have it Ill get the tickets,  Wait a minute Bruce Have you got that money,  Better make that a certified check Walter,  According to the budget we laid out thats more than our food bill for a whole year Listen Bruce I dont want Walter Burns to use me but Im perfectly willing to use him How long will it take to get him examined,  And whats the matter with a thousand dollars,  Wait a minute Bruce Whats commission on a 10000000 policy,  He certainly  hic  does,  No Its strong  But I like it that way,  Thats what he did to me Swept me right off my feet  and left me lying on the floor,  He comes by it naturally His grandfather was a snake,  Youre so nice Bruce you think everybody else is,  It will be perfectly all right Walter Mother is coming with us on the train,  Ill come arunning pardner,  My job Bruce I started it  and Ill finish it,  Dont be embarrassed Bruce I heard it but I just wanted to hear it again I can stand being spoiled a little The gentleman Im going to have a chat with did very little spoiling,  I wont be more than ten minutes I promise you",pleasant,Diverse Work
"  Say I want to be sure too,  Gee Take a look will you,  The money Why,  Shes  well shes very motherly Thats about the best description I know,  And now I dont know where my mother is She may be lost,  Suppose she is  I have feelings too Do you know where Ive been for the last couple of hours Locked up in a police station and she didnt move to do anything about it,  If shes not there mother and I are leaving anyhow,  Oh  I wonder whats keeping mother She was supposed to come down and get you,  So long,  Oh sure  Well thanks for everything,  Thanks a lot,  Thanks Ill phone Hildy right away to get that story,  Certified Im afraid Hildyd feel ashamed to think she hadnt trusted you,  Gee you almost make me feel like a heel  coming between you,  Im beginning to realize that,  Well of course if you put it that way,  Well Im independent too,  I feel I ought to take care of her,  I dont know This makes me feel funny,  We could take the six oclock train Hildy If it would save a mans life,  How long would the interview take,  But couldnt you show the man wasnt responsible,  Are you sure Williams is not all there,  Just what is the lowdown on Williams,  Anything the matter,  Well I honestly feel that way I figure Im in one line of business that really helps people Of course we dont help you much when youre alive  but afterward  thats what counts,  Well Albanys a mighty good insurance town Most people there take it out pretty early in life,  Mighty nice little town Albany Theyve got the State Capitol there you know,  Just for the first year,  I dont think shell need you very much  I aim to do most of the protecting myself,  No My mother,  Feels awful good Yes sir  were taking the four oclock train to Albany and tomorrow well be married,  No  she didnt,  Where are we going,  Well er  it looked a little cloudy this morning,  Oh,  Mr  well  no  no  not at all,  ,  Yes,  Im Bruce Baldwin",friend,Close Acquaintance
  Mr Burns ,pleasant,Diverse Work
"  Louie take this lady over to Polack Mikes and lock her up See that she doesnt take to anyone on the way,  I mean real money  not counterfeit,  You got plenty of money,  Anybody with hair on his chest Get em off the street  anywhere Offer them anything  only get them  Weve got to get this desk out of here,  Beat it out and get hold of some guys,  You stay here Ill find out everything,  Now everythings fine Shes probably squawking her head off in some police station,  Take that mush out of your mouth",pleasant,Diverse Work
"  Dont worry Duffy youll have it back by five  Thanks Duffy Stick around ,  Yeah Well I do the firing too Remember that Duffy and Keep a civil tongue in your head,  They cant do that to me,  Youre crazy Wheres Mac,  What,  Im busy Duffy",unpleasant,Undesirable
"  Come come Sheriff lightning doesnt strike in the same place twice Nothings going to happen,  Yes I suppose so It all helps,  Yes shaking hands I dont take a very good picture though,  Well have to satisfy them What would you say to giving them a joint interview I could give them some of the psychological aspects of the case and you could give them the legal aspects,  Of course I sort of promised them I would give out a statement when I got through here You dont mind,  Theyre always after me for interviews",pleasant,Diverse Work
"  Point the gun at me,  So  now I say to you Earl Williams you are under arrest and you point your gun at me,  Now the Sheriff will be Mollie Malloy in whose room you were You will be Earl Williams And I will be the policeman Follow me Mr Williams,  I see You realize however that you committed a crime,  Oh Im sorry I forgot you were here No Mr Williams we still have some questions for you Sheriff will you kindly extinguish the lights",family,Consanguine
"  Are you gentlemen all through with me,  Let em take me Its better that way,  Down the drainpipe I didnt mean to shoot him You believe me dont you Mollie,  Dont cry Mollie theres nothing to cry about,  Wakin me up in the middle of the night  talkin to me about things they dont understand Callin me a Bolshevik Im an anarchist Its got nothin to do with bombs Its the philosophy that guarantees every man freedom You see that dont you,  Oh Im awful tired I couldnt go through another day like this,  Keep away,  Whats that Only  youre getting too near I dont trust anybody,  No no youre right I dont want to kill anybody All I want to do is be let alone,  Dont move,  Yes  thats right Production for use,  Youre not going to phone anybody where I am,  Yes Isnt she beautiful,  Miss Mollie Malloy Shes a wonderful person,  Theres nothing crazy about that is there,  Sure You see Id never had a gun in my hand before and I didnt know what to do with it Well when I get stuck I know that theres an answer for everything in production for use So it came to me in a flash whats a gun for To shoot So I shot Simple isnt it,  A gun  Why  to shoot of course,  Its the only answer Everything has a use and if we let it be used for its purpose we could solve all our problems Food was meant to be eaten not stored away in restaurants while poor people starved clothing was meant to be worn not piled up in stores while people went naked Doesnt that make sense,  Id do away with the profit system and have production for use only Theres enough food and clothing and shelter for everybody if wed use some sense,  Theyre very simple I believe in the Golden Rule Im not the first man to die for preaching it But if they would only listen to it  we could have a fine decent world instead of this mass of hate that makes man do such cruel things,  Of course not I couldnt kill anybody  its against everything Ive ever stood for They know it was an accident Theyre not hanging me for that  theyre hanging me for my beliefs",family,Conjugal
"  Ill have it in a minute,  Where is he before we beat it out of you,  Come on you Before we slap you down,  Oh you two are pals now  I think youre right Endicott Mollie did give her some kind of story,  Who engineered this getaway,  So have we,  The Crime Commission has offered a reward of ten thousand dollars for Williams capture,  Boy did you see her go,  You guys wanna play some more poker,  She says shes gonna write fiction,  What have you got Hildy,  Yeah What did he ever do for his country,  That must be the tenth alienist theyve had on Williams Even if he wasnt crazy before he would be after ten of those babies got through psychoanalyzing him  Gimme the desk",family,Consanguine
"  We know what youre up to,  You aint gettin out o here,  So long Hildy",friend,Superficial Acquaintance
"  Good coffee isnt it,  Thats all right,  Just coffee  And you sir,  Little rum in yours too,  I cant complain",friend,Superficial Acquaintance
"  If the Mayor wants me he knows where I am,  Just one second ,  Well wait a minute will you Im in conference,  Read it Insane he says  He knows very well that Williams aint insane,  For who",pleasant,Diverse Work
"  Im Sheriff Hartman You want me,  I was only doing my duty Nothing personal in it,  I was just going to,  Its a frameup Some imposter,  Throw him out Frank,  Aiding an escaped criminal And a little charge of kidnapping Im looking into  But thats the jail There must be somebody there,  Look kind o natural dont they Fred,  If we didnt have election Tuesday Id have this on my conscience,  Hello Olsen Listen  Shoot to kill Thats the orders pass the word along No We dont want him And listen Olsen five hundred bucks for the guy that does the job Yes Ill be right out there  Well I hope thats the right thing to do,  I dont know Fred Theres that reprieve if they ever find out,  What,  Just  one  second,  Hold your horses  will you Olsen Hurry up Fred,  No  dont out me off,  I did  Hold the wire,  They got him  Wait a minute  hold the wire  They got Earl Williams surrounded  the Riot Squad has  in his house,  Sssh Wait Fred  What Where Where Holy Moses,  Ah Fred   Hello this is Hartman ,  We got to think fast before those lying reporters get hold of this Whatll we tell em,  An attempt to ruin us,  But were going to hang him Fred He cant get away,  Well theres a lot of Communistic sympathizers around ,  That gives you an idea of what Im up against,  Our families Fred Ive always looked on Bessie as my own sister,  Fred I dont know what to say A thing like this almost destroys a mans faith in human nature,  Fred,  What do you mean  through,  If youre talking about my brother inlaw hes worked for the city fifteen years,  Im getting them for twelve dollars a night,  Now listen Fred Just give me a few hours before you make any decisions Ill get results Im doing everything humanly possible Ive just sworn in four hundred deputies,  The professor asked me for it  I thought it was for something scientific,  I aint got time Fred honest Ill see you after",pleasant,Diverse Work
  Pete I want to talk to you,friend,Superficial Acquaintance
"  Let him out of here Lieutenant,  Nobodys going to rush me into anything  You keep away from me ,   You were with her You were in the cab werent you,  What did you do with her,  Ohhh was she hurt,  Wheres the old lady,  Editorials",friend,Superficial Acquaintance
  Oh I aint doing that any more Im retired Im one of you fellas now  a newspaper man,friend,Superficial Acquaintance
"  Yeah I was never so tired in my life,  Hello Mr Burns Yes shes still here,  Well Hildy we were only saying that a swell reporter like you wouldnt give this up so easily,  Whats the matter Getting yellow",pleasant,Diverse Work
"  What  already Why the dame left only a minute before I did,  I didnt frisk him He must have dropped it in Burns office I didnt know whose it was,  Now dont get excited Hildy I dont know what youre talking about  but is this Mr Baldwins wallet,  Huh,  Thanks So long Hildy,  Keep your shirt on I got it  right here  One hundred  two hundred  three hundred  four hundred  and fifty Now sign,  First you got to sign a receipt ,  All right all right You cant blame a guy for tryin can you,  Oh sure The boss sent me over with it Four hundred dollars wasnt it",pleasant,Diverse Work
"  Well get you out in ten minutes,  Stop screaming Mollie or were sunk Im trying to think of something before those reporters get back,  Howd you get here Earl,  Sure I do Earl,  Well maybe you think I could,  Earl you must never do that again,  I dont blame you Earl  If I were in your place I wouldnt trust anybody either,  Earl theres just one thing I ought to clear up for the interview,  Sure you could Earl  but you wouldnt want to do that would you You wouldnt want to kill anybody,  Earl you dont want to hurt your friends do you,  Put down that gun Earl,  I wont Earl ,  Isnt that her picture,  No Earl not at all  Who sent you the flowers Earl,  Very simple Earl,  Is that how you came to shoot the policeman,  Yes that makes a lot of sense Earl,  Production for use only Well maybe thats the answer,  How would you go about applying the Golden Rule Earl,  What are your beliefs Earl,  You didnt mean to kill that policeman",pleasant,Diverse Work
"  Yeah Im feelin fine,  Hey ,  Ill be right here I wont leave you,  Theres somethin funny going on around here,  What do you mean,  They got him surrounded some place  gonna shoot him like a dog,  It wasnt the Lord It was the devil,  Theyre not human",friend,Superficial Acquaintance
"  Shes good enough for me And if I was to go home and tell my wife ,  Heres the picture of my wife,  You cant bribe me,  Is it hard,  You forgot to tell me what a City Sealer has to do,  Pinkus,  But how do I know,  Yeah,  I got two kids going to school there and if I changed them from one town to another theyd lose a grade,  No I dont think so,  I couldnt work in the city You see Ive got my family in the country,  You mean here in the city,  The what,  Forty dollars,  Huh,  Yes I did just now Dont you remember,  You cant get him on the phone Hes out duckshooting now,  The reprieve for Earl Williams,  Im a messenger at the State House This is from the Governor",friend,Close Acquaintance
"   tried to shoot it out with the cops but his gun wouldnt work so ,  We want to see you,  Come on fellas,  Look out where youre aiming will you,  Hello Mollie",pleasant,Mentoring
"  The door was locked,  Whats he want,  I give that marriage six months",pleasant,Diverse Work
"  Grandpa if you think of something hard enough can you make it happen,  Its true,  With Mrs Evans I hate her,  I have to live in Rosehill Avenue as well,  Very well Grandpa,  But Grandpa you said,  Why,  No youre out Grandpa Its my turn,  I know,  I think you hit him Grandpa He was limping when he ran off,  Can I try,  Henry Chapmans daughter It was Sheila I remember her from last year",unpleasant,Undesirable
"  Pauline,  Its easy Ive done it,  Not now They wouldnt believe me,  You do it Youre a girl,  Could,  Would,  It doesnt matter I can drive the car home",friend,Close Acquaintance
  Whats that,pleasant,Mentoring
"  You expect me to spend the rest of the war sitting at home staring at a ring And youll meet some French girl who can speak your own language No thank you,  You do you do Youre just not saying,  Where,  What is it,  Airraid,  Dont be so cheeky Bruce,  They might be,  A bit too quick",friend,Superficial Acquaintance
"  No Turks,  Could we salt them or smoke them do you think,  I dont believe this is happening to me,  I think its very sensible in the circumstances,  Dont leave it like that Go after him Swallow your pride,  What is it pet,  There there my baby,  You go to bed this minute and take off that lipstick,  And where do you think youre going,  I wont have this vulgar talk in my house,  The ideas you get in your head,  Dont be silly Dawn,  Half the time hes bluffing,  Ancient Have you finished your homework,  Just ignore her Mac",pleasant,Diverse Work
"  Wasnt it lovely,  Up to six weeks I think,  No Mother Its War War",friend,Close Acquaintance
  Is it peace in out time,pleasant,Mentoring
"  I wish it could all have been different,  We did all the proper things and we lost love Thats sad Mac,  This wars put an end to decent things I want to close my eyes and jump and give myself for once hold nothing back,  He could always make me laugh,  You were never apart you and Clive He kept asking and asking  And I waited and waited for you to say something And you never did,  Not loving enough That is a terrible thing to do to someone I suppose I did it to Clive Always held something back,  Mac did you ever find out who Molly went off with,  Thats right Not since then Not since I got married,  Mac that was wonderful I havent been to a concert since,  It seems to have survived,  Please yourself  Let them go if they want,  I cant do it Whats the point",friend,Close Acquaintance
"  What can you do with four daughters I asked myself A string quartet was all I could come up with They hated me for making them learn,  You married that fool Clive thats what Never mind you can stay with us,  AndandHenry Chapmans girl was it Thelma No I can see those cornflower eyesIve lost your name my sweetness",friend,Superficial Acquaintance
"  Please dont kill us please dont kill us,  Yeah it wont take long and besides you sassy poodle girls will slow us down,  Things like that get a lot bloodier than ya think,  I know I hate Swiss cheese the holes make me nervous,  Any cone yeah  I hate that word sounds ugly I dont like crumple either,  Cone,  Maybe maybe maybe hey you know what word I hate,  Yeah its a tree I used to play there all the time But you cant find it without me Outsider cant find no deadwood,  Yeah icky This one guy stops and I look in and hes got his thing out waving it around like a drunk monkey,  Yeah most people just whiz on by like I was invisible or something or else theyre creeps who wanna jam their slimy hands down my pants and twiddle my naughtynaughty",family,Conjugal
"  Yeah Ill do something,  You shouldnt a done that,  He walks duh,  I just pictured the tire sitting in a chair watching TV,  I was just wondering cause you got a pissy look about you like a real pussy licking bitch,  You know a couple of queers,  Are you two gals all funny with each other,  I was just wondering,  Id like to see that",pleasant,Diverse Work
"  No Hes one of Gods creatures he cant help it if hes dumb Im just crazy about animals,  Whats this,  Come on bro Lets go,  Keep the change and get yourself a new name,  Great story Goober how much,  Ill bet you do how much we owe ya  Goober,  Yeah well we like to get fucked up and do fucked up shit you know what I mean,  Now what makes you think that",pleasant,Diverse Work
"  No no I think its really interesting,  But suppose for a second you did,  But if you did,  You see me and my friends are writing a book on offbeat roadside attractions You know all the crazy shit you see when you drive cross country,  Yeah I was never that big of a western fan I like science fiction,  You mean John Wayne,  The Duke,  No really",pleasant,Diverse Work
"  Lock the fucking doors,  I suppose I mean theyre obviously all bonkers but I guess theyre harmless,  That food  ugh I feel like Im gonna puke,  Yeah showtime for what,  I mean obviously we will compensate you for your troubles,  Turn that fucking radio off,  Here he comes",pleasant,Diverse Work
"  It wont work,  I gotta open the gate,  Quiet,  Just sit back and enjoy the show,  Well ya cant complain I never take you anyplace,  Whatever it is just do it The more we play along the faster well get the hell out of here,  Dont worry Ill be quick Just stay here no sense everybody getting drenched,  Fine Ill go straight,  Fine Ill go straight,  Well I got some bad news and some bad news,  Hey he moved,  Theres not enough room,  Theres a dog in the road,  Where ya headed,  We cant leave her out here in the rain maybe we can just drop her at the next rest area,  Its a girl",friend,Superficial Acquaintance
"  Well just promise me youll be careful alright alright see ya soon goodbye,  Oh yeah yeah Ive driven by that place before I seem to remember a crabby old bastard in a crummy clown suit running the place",pleasant,Diverse Work
"  Yes sir,  Huh,  Keys",pleasant,Mentoring
"  Aw honey you know I cant do that,  Bye sweety we could of been great together,  No no no its so much more special than that youll see youll be the first to ever see I think this is something youll really love,  For the show Its Halloween eve and time for our show,  Firefly,  Maybe Hes a real lady killer,  Ill bet you are you are a naughty little thing arent ya,  Oh really  well Im a pretty good dancer if you know what I mean I bet I got a few moves you aint never seen,  So what brings you kids way out here aint you got something better to do for Halloween than wander around out here in the sticks,  What do they call you sweety,  His name is Rufus Rufus Jr but we all call him RJ",pleasant,Diverse Work
"  Negative Shit we are so deep in the sticks we could walk for hours and find zero,  This is way too fucked up for words,  OK lassies I think its time you get to gripping reality,  Hold on hold on Everybody calm down Its the tow truck guy,  Oh dont blow everything out of proportion,  Huh,  I think we should go straight I mean we know for a fact there aint nothing back that way right,  Shit it is only sprinkling and its worth the trouble Hold on for two seconds,  Im gonna go ask him",friend,Close Acquaintance
"  What are you doing  no stop please please,  Fuck you you fucking freak,  This cant be real this cant be real this cant be real,  Where is he,  Wheres Bill",friend,Superficial Acquaintance
"  Think do any of these kids look familiar in any way,  Thank you,  Please just a minute,  Please could I please come in and talk to you for a minute Maybe you could take a better look at the picture might stir up something,  I appreciate your cooperation Im looking for a missing girl  this girl here Denise Willis have you seen her,  My name is Lt Wydell Id like to ask you a few questions,  Excuse me Im sorry for disturbing you this fine afternoon",pleasant,Diverse Work
"  Fuck go to the car call for backup Tell em officer down,  Shit fuck procedure,  I aint got a warrant,  Yeah I hear it wheres it coming from,  Shit dont these packrat hillbillies throw anything away,  Turn up this road,  No they couldnt somebody had to see something,  No not really Good kid never been in any trouble,  Local girl Karen Murphy been missing for a couple months figured for a runaway,  Hey",pleasant,Diverse Work
"  Im sure theres a logical explanation,  Oh yeah you know about that Hmmm thats a strange one,  Well all we know is the kids were headed out to a spot the locals call Deadwood to play Nancy Drew with some local legend about this character everybody calls Dr Satan,  Im Wydell this is Naish",friend,Close Acquaintance
"  Tell him Harold,  Tell him Harold,  And,  Harold Tell the boy again,  That is the wrong fork young man  Harold tell the boy",pleasant,Diverse Work
  Lila what are you doing in there I need to get ready for my date,friend,Close Acquaintance
"  French,  Hush No it is never terrible to be in love Nathans memory lives on in our sacred union  Im not sorry she killed him either Nathan was wonderful He was erudite and sophisticated and charming You are all that too But you have something more You have a bit of the animal in you,  You remind me so much of Nathan plus so much of my little mongrel doggie,  You remind me so much of Nathan,  Say my name,  Oui Nathans silk suit just like you asked",friend,Close Acquaintance
  My apologies madam,friend,Superficial Acquaintance
"  Ooka,  Oook Oook,  Ugnh,  Eat shit thumbtack dick  Thank you Frank Youre the best,  Shut up Yeah this is Lila cunt And dont let the hirsutism fool you I know more about being a woman and more about the black hearts of men than you in your pretty little powdered bullshit fantasy world can ever imagine I know the darkness and cruelty of nature sweetie pie,  How the hell would you know anything about the human heart,  I gave up my soul my beliefs I gave up my body hair,  Do you know what I gave up to be with you,  And what did you do tonight honey,  And what did you do tonight honey,  Thats funny because you know I just went and picked him up at some flophouse on the lower eastside He called here when he ran out of his mad money after spending an entire evening drinking watching strippers and fucking a whore  Oh and what did you do tonight honey,  So hes doing okay,  Ummm Its good,  Should I come with,  Absolutely,  Oh boy,  That was wonderful,  Such as my man and how to please him  Such as making wonderful dinners for my man  Such as looking pretty for my man  And Im writing an article on quilting for the Ladies Home Journal,  Who needs it I have you and I have being a woman and I have thinking about womanly things I love being a woman because,  Yes And I want to help You wont have to pay me and I was thinking of giving up that crazy nature writing anyway,  Oh yes baby I think that this is a wonderful project youre doing taking this poor unfortunate uncivilized creature and turning him into a human being What a wonderful wonderful compassionate man you are,  Hey I could come work for you I know I havent been all that supportive of this project but Ive come around,  Oh baby Im sorry Cant you hire somebody else,  No I dont want your work to be cruddy,  Ill make it  Im so happy Nathan Everythings going to be so great Scotch on the rocks right  Just kidding I know what you drink mister I know what you drink  Voila,  You remember that from my book Im touched  Whats wrong,  Oh Nathan lets have a baby,  Ive signed up for a ballet class And look at my nails A real girl,  Because Im really trying you know Rosie says maybe only another two years of the elctrolysis,  Really,  Im trying you know  Im trying to be what you want I want to be what you want Nathan All I want is to be what you want,  Do you like my new look,  Because you know you seem so distant And you work late every night And we hardly ever have sex and when we do its I dont know It feels different,  It would just be helpful to know,  Please Nathan I really need this Youve been working late a lot,  Honey can we talk tonight You know about stuff Things have been so strained for the past three weeks since you know and I just want to talk,  So hows it going today,  I love being female because it how do you say allows me to be close to men,  You are an animal,  Im the same person I was before you knew damn it Oh God,  Im sorry Please dont be mad at me for this,  Apes dont shave you son of a bitch,  Im getting electrolysis Its working but it takes time So meanwhile I have to,  Its hormonal Nathan I cant help it Im sorry,  Who from work,  Who is it,  Nothing Be right out,  All right,  Youd be taking away his freedom Nathan,  I wont allow you Its wrong Hes happy here,  Oh no You cant take him from his home Nathan,  Nathan what the hell are you talking about,  Look at him He doesnt understand English He moves like an animal,  What,  I dont understand you This is fascinating and you just want to run away I mean here we have a human being totally uncontaminated by civilization totally free and all you want to do is run back to your,  He looks perfectly fine,  I think hes feral,  Come on,  No Too upright Mightve been a person,  I dont know Something,  Did you see that,  Thats very funny,  Absolutely,  Yes,  Yes darling,  Fifteen,  Of course,  Yes darling,  I dont think so  Why,  Itll be wonderful Ill show you my old stomping grounds,  Oh darling Im so relieved Lets celebrate with a long hike in the woods tomorrow,  Do you Oh do you darling,  Do you,  You didnt seem sorry when you were laughing at all your mothers stupid tasteless cruel animal jokes,  Ill be out in a minute,  Nathan,  Yeah  But I have some peculiarities also,  I like you too Nathan,  You really enjoy my company,  You do,  No Im sorry Im really backward in certain areas,  Boy this is good,  Oh Im sorry  Im sorry Nathan I never really learned those things,  Im sorry,  Ummmm Oh Nathan this salad is delish,  It looks wonderful,  We are animals after all,  Im not sure,  Going out on a limb arent you Nathan,  Whats the larger experiment,  Paper or cloth,  Hows it going,  I hope you dont perform any of those dreadful torture experiments Nathan,  You are a therapist right,  Im not sure we can escape our natures Believe me Ive tried Im not even so sure anymore that we should want to,  Thats not necessarily a bad thing,  Where,  Youve got to respect that,  Theyre so even keel They forge ahead with slow determination They dont get distracted or sidetracked They dont care what they look like They dont care that people look at them and go Ewww A slug,  Thank you so much I love slugs All slugs not just banana slugs",friend,Superficial Acquaintance
"  And how do you feel about Gabrielle,  I just think it might be important to explore your feelings for Lila,  Well it seems that since Lila broached the subject of children youve been on edge and I know you have an issue with the uh body hair,  Do you suppose it has anything to do with Lilas unusually hairy body",pleasant,Diverse Work
"  Im an ape mom Im an ape And apes dont drop lines,  Yes,  Its a pleasure to meet you mother But Im an ape like dad was  And I have to go back into the woods now forever,  Mother,  Yes",pleasant,Diverse Work
"  Its open  Whatll you have,  Right,  Check,  You want a chaser,  About sixty seventy bucks,  What do you guys sell,  Comin in or goin out,  Pittsburgh",family,Consanguine
  Boys just passing through,pleasant,Diverse Work
"  All I wants the money,  Thats the way its done,  Its what Eddie wants He uh told me to give you some money,  You tell me,  Listen Miss Ladybird youre here on a rain check and I know it Youre hanging on by your nails You let that glory whistle blow loud and clear for Eddie and youre a wreck on a railroad track Youre a horse that finished last So dont make trouble Miss Ladybird Live and let live While you can,  Well nobody has to sell,  All right Today for me tomorrow for himself,  For what makes the world go round For money and for glory,  To win,  Yeah I think we do We could try to cut each other up But that would be bad for everybody Bad for me bad for you And worst of all be bad for Eddie,  I want to talk to you,  Shes a smart girl Eddie,  Thats right Miss Packard,  Oh I forgot all about it  Hows the hands,  I know Been there myself Weve all been there havent we Miss Packard,  Soon as I finish my coffee,  Lots of action Lots of money  Lots of class Youll see some of the bestdressed and most beautiful women in the world at the races Knock your eye out,  You uh you ever been to Louisville during Derby week Miss ah Packard,  It always takes me a little while to get a name fixed in my mind Are you sure you dont want anything",pleasant,Diverse Work
"  Just like that,  All right Thats what I want Poolroom with a little handbook on the side Getting old,  Is that what you think,  You wanna come back on the road with me okay the moneys yours But if you wanna give it to Minnesota Fats nothing doing What do you say,  What for To play Fats again,  Aw Eddie,  My twentyfive per cent Approximately fifteen hundred bucks,  Whats the difference where Ill raise it  Is it all right if I have another drink,  Dont worry about it Ill raise the money,  He thinks I care about the money  I care about you Do you care about me Eddie Were together a long time night and day So how do you say goodbye  You gimme the car and a hundred bucks You think I care about the dough the car I care about you  This boy is the greatest pool hustler you ever saw A real highclass con man He can charm anybody into anything Did he ever tell you how well we were doing on the road We had everything we ate good we slept late we had money to burn Whisky dames  Excuse me  Ill tell you what  take her along,  This boys crazy They wiped the floor with him They beat his brains out and he wants to go back  What for To take another beating,  Are you figuring on going back to Ames to play Minnesota Fats again Is that whats on your mind,  What kind of life have you got here Scufflin around the small rooms picking up eight ten bucks a day,  I want you to come back on the road with me,  Yeah yeah like a son  Ive known this boy since he was sixteen The first time I saw him back in Oakland I said This is a talented boy This is a smart boy,  You walked out on me like that No goodbye no nothing Like a thief in the dark We were partners We were more than partners  He was like a like ,  How do you want me to play it Im broke,  I asked around,  Hello Eddies girl  I looked all over for you,  If thats all you got thats all we got left,  Okay here  Be a damn fool,  Go to hell,  Well maybe thats it Im chicken,  What are you trying to do Eddie You beat him You beat him bad You wanna kill yourself,  You dont need a drink,  Twentyfive hours Eddie Twenty five hours you been playin straight,  Get with what,  You wanted ten thousand You got ten thousand,  Eddie,  Now wait a minute Youre coming with me Youre gonna eat breakfast at the hotel Pool game is over,  Eleven thousand four hundred cash Here in my pocket,  Approximately One thousand bucks,  Quit Hes too good,  In the gut I mean,  How do you feel,  Okay Okay Nobody can beat you,  Looks more like a morgue to me Those pool tables are the slabs they lay the stiffs on,  Its quiet,  Dont be a chump Dont bet any more money on that damn fool shot,  I dont want it,  Lets get back on the road You gotta be at that convention in the morning,  Youre drunk boy Im not gonna bet ya any more,  Nobody can make that shot and you know it Not even a lucky lush,  Why,  You know what I mean You couldnt make that shot again in a million years,  You ought to take up crap shooting Talk about luck,  Its gonna cost ya money It always does,  Druggist supplies Buster here is gonna get an award  No he sold seventeen thousand bucks worth of stuff last month Fastest boy in the territory",friend,Superficial Acquaintance
"  Yeah You must come again,  Charles will you call a cab for these gentlemen please  Id show you to the door but I,  Here  Been an interestin evening,  Ah thats unfortunate Mr Felson,  Like to raise the stakes Mr Felson,  I dont play pool Mr Felson I play billiards My house my game You dont have to play if you dont want to,  By all means,  Im having some people over for drinks right after the races Why dont you all come over Then about nine ten oclock we can play,  Would you like to come out tonight,  Youre very direct Mr Felson,  Bert I believe Mr Felsons making a proposition,  A little although Im afraid I generally lose,  And I you  I think Ive heard about you Mr Felson You play pocket billiards dont you,  Well hello Havent seen you in a long time",pleasant,Diverse Work
"  Yeah Im quittin,  Heads,  Okay friend Youre on,  Okay,  Try me,  You wanna raise the bet Two on the five five on the nine,  I guess its just you and me huh,  How much are you ahead,  Okay friend,  A dollar on the five two on the nine,  Hi",friend,Close Acquaintance
